,user_token,vis_condition,duration_seconds,duration_minutes,cogRef_dirt,cogRef_emily,cogRef_farmer,cogRef_race,ans_time,defConf_0,defConf_1,defConf_10,defConf_11,defConf_2,defConf_3,defConf_4,defConf_5,defConf_6,defConf_7,defConf_8,defConf_9,defConf_start,defConf_ans_time,defConf_defConf_0,defConf_defConf_1,defConf_defConf_10,defConf_defConf_11,defConf_defConf_2,defConf_defConf_3,defConf_defConf_4,defConf_defConf_5,defConf_defConf_6,defConf_defConf_7,defConf_defConf_8,defConf_defConf_9,defConf_defConf_start,dmg_ans_time,dmg_dmg_age,dmg_dmg_education,dmg_dmg_gender,dmg_dmg_pliticalAff,dmg_dmg_race,dmg_dmg_start,episBel_ans_time,episBel_episBel_0,episBel_episBel_1,episBel_episBel_10,episBel_episBel_11,episBel_episBel_2,episBel_episBel_3,episBel_episBel_4,episBel_episBel_5,episBel_episBel_6,episBel_episBel_7,episBel_episBel_8,episBel_episBel_9,episBel_episBel_start,defensive_confidence,EB.feel,EB.evidence,EB.political,X.1,X.y,crt_dirt,crt_dirt_correct,crt_dirt_intuitive,crt_dirt_other,crt_emily,crt_emily_correct,crt_emily_intuitive,crt_emily_other,crt_farmer,crt_farmer_correct,crt_farmer_intuitive,crt_farmer_other,crt_race,crt_race_correct,crt_race_intuitive,crt_race_other,filter,crt_correct,crt_intuitive
1,4716eeb7-d35f-4745-aaa0-b3b89669e338,hop,894.131,14.90218333,3,Emily,8,second,1076,3,4,4,2,2,4,2,3,4,3,2,4,1.64764E+12,1076,3,4,4,4,4,2,2,3,4,3,2,2,1.64764E+12,2323,19,High school (grades 9-12),Female,Extremely liberal,Asian,1.64764E+12,1648,4,4,4,4,5,4,4,5,3,4,3,3,1.64764E+12,37,3.5,4,4.25,1,0,FALSE,0,0,1,TRUE,1,0,0,TRUE,1,0,0,TRUE,1,0,0,FALSE,3,0
2,cf4ca333-21e7-4d43-8ae4-69c026f32429,scatter,1060.898,17.68163333,0,Emily,8,2,2125,4,4,4,1,3,2,2,3,3,4,1,2,1.64764E+12,2125,4,4,4,5,3,4,2,3,3,4,1,4,1.64764E+12,5694,22,College degree,Other,Liberal,White,1.64764E+12,1429,2,4,4,4,4,3,5,4,3,4,4,3,1.64764E+12,41,2.75,4.25,4,2,1,TRUE,1,0,0,TRUE,1,0,0,TRUE,1,0,0,TRUE,1,0,0,TRUE,4,0
3,c37d9467-2551-419d-a9ae-b00353e23c98,scatter,1343.81,22.39683333,27,Emily,7,first,2012,4,4,4,2,2,3,4,4,4,4,2,3,1.64764E+12,2012,4,4,4,4,4,3,4,4,4,4,2,3,1.64764E+12,2420,21,"Some college, no degree",Female,"Moderate, middle of road",Black or African American,1.64764E+12,863,3,4,4,3,3,4,4,3,3,3,2,2,1.64765E+12,44,3,3.75,2.75,3,2,TRUE,0,1,0,TRUE,1,0,0,TRUE,0,1,0,TRUE,0,1,0,TRUE,1,3
4,69324df5-f807-47fe-8dd0-8a7db9b76270,uncertainty,1139.617,18.99361667,27,Emily,8,2nd,1004,5,5,5,1,2,2,4,4,4,4,4,2,1.64765E+12,1004,5,5,5,5,4,4,4,4,4,4,4,4,1.64765E+12,1422,34,Post-graduate degree,Female,Slightly liberal,Black or African American,1.64765E+12,911,4,4,4,2,2,4,5,4,3,3,2,4,1.64765E+12,52,3.75,4,2.5,4,3,TRUE,0,1,0,TRUE,1,0,0,TRUE,1,0,0,TRUE,1,0,0,TRUE,3,1
5,9657d2f0-6797-4738-bd16-9413e216ea69,uncertainty,1330.8,22.18,27,Emily,8,second,1298,4,5,4,1,1,1,1,4,3,4,3,2,1.64765E+12,1298,4,5,4,5,5,5,1,4,3,4,3,4,1.64765E+12,1466,38,Post-graduate degree,Female,Liberal,White,1.64765E+12,1499,3,5,5,1,2,4,4,2,4,5,1,3,1.64765E+12,47,3.5,4.75,1.5,5,4,TRUE,0,1,0,TRUE,1,0,0,TRUE,1,0,0,TRUE,1,0,0,TRUE,3,1
6,b3817e45-d8ae-47fb-b882-9d1a3ad7ae43,hop,1701.994,28.36656667,27,Emily,7,First,2934,4,5,5,1,2,3,2,5,5,5,5,1,1.64765E+12,2934,4,5,5,5,4,3,2,5,5,5,5,5,1.64765E+12,2254,37,College degree,Female,Liberal,White,1.64765E+12,1598,2,5,5,3,5,2,5,5,2,5,4,2,1.64765E+12,53,2,5,4.25,6,5,TRUE,0,1,0,TRUE,1,0,0,TRUE,0,1,0,TRUE,0,1,0,TRUE,1,3
7,5bd3b577-66ca-40c4-87ca-3fa835b6b671,scatter,1037.832,17.2972,27,Emily,8,2,1450,4,4,5,1,1,1,4,5,5,5,5,1,1.64765E+12,1450,4,4,5,5,5,5,4,5,5,5,5,5,1.64765E+12,1615,58,High school (grades 9-12),Female,Conservative,White,1.64765E+12,877,5,2,2,2,4,5,4,4,5,2,4,5,1.64765E+12,57,5,2.5,3.5,7,6,TRUE,0,1,0,TRUE,1,0,0,TRUE,1,0,0,TRUE,1,0,0,TRUE,3,1
8,214f0ecb-3c6a-4b81-bbb4-8acc7917d759,uncertainty,576.117,9.60195,27,Emily,8,2nd,4589,4,4,5,1,2,3,1,5,4,4,5,1,1.64765E+12,4589,4,4,5,5,4,3,1,5,4,4,5,5,1.64765E+12,1315,26,College degree,Male,Extremely liberal,White,1.64765E+12,2256,1,5,5,1,1,3,5,1,4,5,5,3,1.64765E+12,49,2.75,5,2,8,7,TRUE,0,1,0,TRUE,1,0,0,TRUE,1,0,0,TRUE,1,0,0,TRUE,3,1
9,b0a9b1e8-e847-4976-ab17-99db2494f88c,uncertainty,1089.686,18.16143333,3,Emily,8,first,3435,4,3,5,2,1,3,1,2,2,4,2,2,1.64765E+12,3435,4,3,5,4,5,3,1,2,2,4,2,4,1.64765E+12,2304,34,Post-graduate degree,Female,Extremely liberal,White,1.64765E+12,3331,4,5,5,3,3,4,5,3,3,4,3,4,1.64765E+12,39,3.75,4.75,3,9,8,FALSE,0,0,1,TRUE,1,0,0,TRUE,1,0,0,TRUE,0,1,0,FALSE,2,1
10,986708bb-37e6-4ba8-8040-69e0d3546bdb,hop,778.436,12.97393333,1,emily,8,2nd,861,4,2,3,2,3,2,2,3,3,4,2,4,1.64765E+12,861,4,2,3,4,3,4,2,3,3,4,2,2,1.64765E+12,3528,19,College degree,Male,"Moderate, middle of road",White,1.64765E+12,1605,4,3,3,3,3,4,3,3,4,2,2,3,1.64765E+12,36,3.75,2.75,2.75,10,9,FALSE,0,0,1,TRUE,1,0,0,TRUE,1,0,0,TRUE,1,0,0,FALSE,3,0
11,64599a2b-6cab-42d0-8370-c9955871d749,hop,2048.423,34.14038333,27,Emily,8,2,1549,3,4,4,2,2,2,1,2,4,5,4,2,1.64765E+12,1549,3,4,4,4,4,4,1,2,4,5,4,4,1.64765E+12,1859,42,"Some college, no degree",Female,Slightly liberal,White,1.64765E+12,1798,4,4,4,4,5,3,4,5,4,4,5,4,1.64765E+12,43,3.75,4,4.75,11,10,TRUE,0,1,0,TRUE,1,0,0,TRUE,1,0,0,TRUE,1,0,0,TRUE,3,1
12,f6f51d3f-24eb-4de7-9f43-f4cb89b9e75d,uncertainty,1247.742,20.7957,18,Emily,8,First,1479,3,4,3,2,2,3,2,4,3,2,3,3,1.64765E+12,1479,3,4,3,4,4,3,2,4,3,2,3,3,1.64765E+12,2251,30,"Some college, no degree",Female,Liberal,White,1.64765E+12,1702,3,4,3,3,3,3,3,3,3,3,2,3,1.64765E+12,38,3,3.25,2.75,12,11,FALSE,0,0,1,TRUE,1,0,0,TRUE,1,0,0,TRUE,0,1,0,FALSE,2,1
13,de1200dc-7bb2-4d6a-b15f-55a526011fe0,scatter,1240.127,20.66878333,27,Emily,8,second,1805,4,3,4,1,2,2,2,2,4,3,4,2,1.64765E+12,1805,4,3,4,5,4,4,2,2,4,3,4,4,1.64765E+12,2039,69,College degree,Female,Extremely conservative,White,1.64765E+12,1590,1,5,5,1,2,2,5,1,1,5,1,2,1.64765E+12,43,1.5,5,1.25,13,12,TRUE,0,1,0,TRUE,1,0,0,TRUE,1,0,0,TRUE,1,0,0,TRUE,3,1
14,b19bfbef-2aef-498f-91d8-eae19bcde86d,uncertainty,2598.303,43.30505,27,June,8,FIRST,1747,5,4,5,1,1,1,4,5,5,4,5,1,1.64765E+12,1747,5,4,5,5,5,5,4,5,5,4,5,5,1.64765E+12,15830,43,"Some college, no degree",Female,"Moderate, middle of road",Black or African American,1.64765E+12,11131,5,3,3,2,2,3,4,2,4,3,2,4,1.64765E+12,57,4,3.25,2,14,13,TRUE,0,1,0,TRUE,0,1,0,TRUE,1,0,0,TRUE,0,1,0,TRUE,1,3
15,abc0efde-29c6-4451-b605-284c30920afb,scatter,1754.626,29.24376667,27,June,7,2nd place,1694,5,4,5,5,2,1,4,5,5,5,3,4,1.64765E+12,1694,5,4,5,1,4,5,4,5,5,5,3,2,1.64765E+12,4234,24,"Some college, no degree",Female,"Moderate, middle of road",Black or African American,1.64765E+12,2153,4,5,5,3,3,4,3,3,3,4,3,3,1.64765E+12,48,3.5,4.25,3,15,14,TRUE,0,1,0,TRUE,0,1,0,TRUE,0,1,0,TRUE,1,0,0,TRUE,1,3
16,92bf63c0-8141-4ed7-8853-8bd0352f8273,uncertainty,2324.168,38.73613333,3,Emily,8,third,6026,4,4,4,2,2,2,4,3,4,4,3,2,1.64765E+12,6026,4,4,4,4,4,4,4,3,4,4,3,4,1.64765E+12,8676,47,College degree,Female,"Moderate, middle of road",White,1.64765E+12,4893,3,4,4,3,3,4,4,3,3,3,3,3,1.64765E+12,46,3.25,3.75,3,16,15,FALSE,0,0,1,TRUE,1,0,0,TRUE,1,0,0,FALSE,0,0,1,FALSE,2,0
